2014-06-14 12:47:45,969 [Worker-6] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 16
2014-06-14 12:47:46,959 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.arorarajan:CodingBat:1.0.0-SNAPSHOT @ /Users/rarora/Documents/interviews/CodingBat/pom.xml.
2014-06-14 12:47:47,414 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /CodingBat/src/main/java
2014-06-14 12:47:47,418 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /CodingBat/src/test/java
2014-06-14 12:47:47,559 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2014-06-14 12:47:47,640 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.arorarajan:CodingBat:1.0.0-SNAPSHOT @ /Users/rarora/Documents/interviews/CodingBat/pom.xml.
2014-06-14 12:47:47,728 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /CodingBat/src/main/java
2014-06-14 12:47:47,731 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /CodingBat/src/test/java
2014-06-14 12:47:47,792 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2014-06-14 12:47:47,964 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MacRoman actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-14 12:47:47,969 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/rarora/Documents/interviews/CodingBat/src/main/resources
2014-06-14 12:47:47,971 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MacRoman actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-14 12:47:47,977 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/rarora/Documents/interviews/CodingBat/src/test/resources
2014-06-14 12:48:05,416 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.arorarajan.interviewprep:CodingBat:1.0.0-SNAPSHOT @ /Users/rarora/Documents/interviews/CodingBat/pom.xml.
2014-06-14 12:48:05,493 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MacRoman actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-14 12:48:05,499 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/rarora/Documents/interviews/CodingBat/src/main/resources
2014-06-14 12:48:05,500 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MacRoman actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-14 12:48:05,505 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/rarora/Documents/interviews/CodingBat/src/test/resources
2014-06-14 12:49:48,507 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.arorarajan.interviewprep:CodingBat:1.0.0-SNAPSHOT @ /Users/rarora/Documents/interviews/CodingBat/pom.xml.
2014-06-14 12:49:48,576 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MacRoman actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-14 12:49:48,582 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/rarora/Documents/interviews/CodingBat/src/main/resources
2014-06-14 12:49:48,583 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MacRoman actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-14 12:49:48,588 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/rarora/Documents/interviews/CodingBat/src/test/resources
2014-06-14 12:49:49,799 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MacRoman actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-14 12:49:49,806 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/rarora/Documents/interviews/CodingBat/src/main/resources
2014-06-14 12:49:49,807 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MacRoman actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-14 12:49:49,812 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/rarora/Documents/interviews/CodingBat/src/test/resources
